model_name;acc_train;b_acc_train;pre_train;rec_train;fscore_train;acc_val;b_acc_val;pre_val;rec_val;fscore_val;acc_test;b_acc_test;pre_test;rec_test;fscore_test;target
DT;1,0;1,0;1,0;1,0;0,4691;0,4661;0,3541;0,4661;0,4661;0,4661;0,4691;0,3507;0,4691;0,4691;0,4691;0_dir
GradBoost;0,6139;0,4507;0,6139;0,6139;0,5065;0,4835;0,3381;0,4835;0,4835;0,4835;0,5065;0,3517;0,5065;0,5065;0,5065;0_dir
bagging;0,9691;0,9565;0,9691;0,9691;0,4748;0,4782;0,3465;0,4782;0,4782;0,4782;0,4748;0,3403;0,4748;0,4748;0,4748;0_dir
KNN;0,6555;0,4939;0,6555;0,6555;0,4798;0,4698;0,3361;0,4698;0,4698;0,4698;0,4798;0,344;0,4798;0,4798;0,4798;0_dir
GNB;0,4991;0,349;0,4991;0,4991;0,4876;0,4825;0,3321;0,4825;0,4825;0,4825;0,4876;0,3361;0,4876;0,4876;0,4876;0_dir
SVM;0,4953;0,3333;0,4953;0,4953;0,4956;0,4953;0,3333;0,4953;0,4953;0,4953;0,4956;0,3333;0,4956;0,4956;0,4956;0_dir
LogReg;0,494;0,3402;0,494;0,494;0,4989;0,4771;0,3284;0,4771;0,4771;0,4771;0,4989;0,3438;0,4989;0,4989;0,4989;0_dir
SGD;0,469;0,3361;0,469;0,469;0,4676;0,4608;0,3351;0,4608;0,4608;0,4608;0,4676;0,3369;0,4676;0,4676;0,4676;0_dir
LinSVC;0,4677;0,3352;0,4677;0,4677;0,4656;0,4635;0,3349;0,4635;0,4635;0,4635;0,4656;0,3347;0,4656;0,4656;0,4656;0_dir
RF;1,0;1,0;1,0;1,0;0,4889;0,474;0,3385;0,474;0,474;0,474;0,4889;0,3465;0,4889;0,4889;0,4889;0_dir
